171107_132501 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_133001 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_133501 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_134001 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_134501 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_135001 | 11 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_135501 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_140001 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_140501 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_141001 | 10 : /bin/python3 ./dtn_demo_check_sc17.py 
171107_141345 | 10 : {"jupyter_check": 0, "permission_check": 0, "testfile_check": 0, "nvme_check": 8, "vlan_check": 61, "firewall_check": 1}
